Country,Sector,Annual Export to the US ($ million),Baseline ETR (%),S301 ETR (%),ETR Change (pp)
Malawi,Consumer Goods & Crafts,0.6,10.0,0.0,-10.0
Malawi,Chemical & Pharmaceutical,0.1,10.0,0.0,-10.0
Malawi,Textile & Apparel Manufacturing,0.1,10.0,0.0,-10.0
Mali,Energy & Minerals,0.1,0.0,0.0,0.0
Mali,Consumer Goods & Crafts,3.1,3.4,1.0,-2.4
Mali,Base Metals,0.2,35.2,31.5,-3.7
Mali,Industrial Equipment & Technology,3.7,11.4,6.9,-4.5
Mali,Chemical & Pharmaceutical,0.1,7.4,0.0,-7.4
Mali,Agricultural & Foods,2.1,7.5,0.0,-7.5
Mali,Art & Collectibles,1.3,10.0,0.0,-10.0
Mali,Textile & Apparel Manufacturing,0.2,10.0,0.0,-10.0
Mauritania,Base Metals,0.0,50.0,50.0,0.0
Mauritania,Chemical & Pharmaceutical,1.5,0.9,0.0,-0.9
Mauritania,Industrial Equipment & Technology,3.1,15.4,10.3,-5.2
Mauritania,Consumer Goods & Crafts,1.0,10.2,0.4,-9.8
Mauritania,Agricultural & Foods,1.1,10.0,0.0,-10.0
Mauritania,Art & Collectibles,0.2,10.0,0.0,-10.0
Mauritania,Textile & Apparel Manufacturing,0.3,10.0,0.0,-10.0
Mauritius,Base Metals,0.2,39.0,36.8,-2.2
Mauritius,Chemical & Pharmaceutical,2.9,6.7,1.5,-5.2
Mauritius,Industrial Equipment & Technology,14.0,9.7,2.4,-7.3
Mauritius,Energy & Minerals,1.4,9.0,0.0,-9.0
Mauritius,Agricultural & Foods,116.8,10.0,0.0,-10.0
Mauritius,Consumer Goods & Crafts,83.3,10.0,0.0,-10.0
Mauritius,Art & Collectibles,0.6,10.0,0.0,-10.0
Mauritius,Textile & Apparel Manufacturing,67.7,10.0,0.0,-10.0
Morocco,Art & Collectibles,5.2,10.0,12.5,2.5
Morocco,Textile & Apparel Manufacturing,317.9,10.0,12.5,2.5
Morocco,Consumer Goods & Crafts,71.0,10.0,12.5,2.5
Morocco,Agricultural & Foods,424.2,8.9,11.0,2.1
Morocco,Energy & Minerals,79.6,4.4,5.5,1.1
Morocco,Chemical & Pharmaceutical,104.4,4.0,5.0,1.0
Morocco,Industrial Equipment & Technology,751.7,11.9,12.6,0.7
Morocco,Base Metals,14.3,10.3,10.5,0.2
Mozambique,Base Metals,3.8,48.9,48.6,-0.3
Mozambique,Energy & Minerals,65.0,1.4,0.0,-1.4
Mozambique,Industrial Equipment & Technology,3.5,17.2,13.0,-4.2
Mozambique,Agricultural & Foods,26.0,9.4,0.0,-9.4
Mozambique,Consumer Goods & Crafts,118.8,10.0,0.0,-10.0
Mozambique,Art & Collectibles,0.4,10.0,0.0,-10.0
Mozambique,Chemical & Pharmaceutical,0.1,10.0,0.0,-10.0
Mozambique,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Namibia,Energy & Minerals,74.8,0.3,0.0,-0.3
Namibia,Base Metals,0.1,39.2,36.5,-2.7
Namibia,Industrial Equipment & Technology,4.3,12.3,5.0,-7.4
Namibia,Chemical & Pharmaceutical,2.1,9.7,0.0,-9.7
Namibia,Agricultural & Foods,4.9,9.8,0.0,-9.8
Namibia,Consumer Goods & Crafts,174.7,10.0,0.0,-10.0
Namibia,Art & Collectibles,0.7,10.0,0.0,-10.0
Namibia,Textile & Apparel Manufacturing,0.9,10.0,0.0,-10.0
